topic_id,variety_source,site,topic
T0001,ZA,portelizabethdailyphoto.blogspot.com,Port Elizabeth Daily Photo: Steve Biko's cell at Walmer police station
T0002,GB,hodgson.blogs.lincoln.ac.uk,Tutorials and practicals for biological psychology teaching
T0003,GB,golfonline.co.uk,Adam Scott Long putters should not be banned
T0004,US,preachermusings.wordpress.com,"I bet when they were old women, they wore purple: Tabitha, Priscilla"
T0005,US,evolvingu.com,Are you one of them?
T0006,AU,blog.rossclennett.com,Ross Clennett: Our ageing population and workforce: The role of
T0007,IE,ballyhasslakes.ie,Please leave a review on Tripadvisor
T0008,IE,blog.rareirishstuff.com,PUB OF THE WEEK
T0009,GB,brianbinley.com,Brian Binley: Labour want to be One Nation but they're actually No
T0010,AU,ben-vanishingpoint.blogspot.com,Vanishing Point: One Of Them Days
T0011,GB,unmakingthings.rca.ac.uk,Unmaking Things 2012-13 » BEYOND TEXT
T0012,IE,farmersforum.ie,Advantages of Bull Over AI on Dairy Herd? Pt2
T0013,IE,cigars.ie,"Christmas Corona Gordas, Day 10: Rafael Gonzalez Corona Extra"
T0014,IE,clontarfrugby.com,Clontarf 35 UL Bohs 10 | Clontarf Rugby
T0015,US,hallnimusbyer.wordpress.com,The Reason Why Kim Junsu Had To Be The One To Rewrite The
T0016,ZA,travelground.com,"How to take a perfect ""couples"" picture"
T0017,ZA,umuzi.bookslive.co.za,"""Alan Paton Would Have Been Pleased"" Says Steven Anderson of"
T0018,IE,coddle.ie,A cry from the Desert
T0019,GB,oxfordstudent.com,"""I have a lot of sympathy for politicians"""
T0020,GB,comptonhouseoffashion.co.uk,SAVE ON MONEY. NOT ON QUALITY.
T0021,US,drexeldragons.com,Varsity Eights to Race in Head of the Charles
T0022,GB,manchester.girlgeekdinners.com,Upcoming Event: Girl Geek Tea Party: Geeky crafty decorations
T0023,US,gfmd2010.wordpress.com,This conference will be televised
T0024,GB,blog.tweetdig.com,The Next Web | TweetdigTweetdig
T0025,ZA,witness.co.za,Louvre: Sketches on the back of painting believed to
T0026,US,ent.about.com,Is Your Child's School Prepared For the Next Major Flu Pandemic?
T0027,US,fallfordesign.com,"Hey, I just met you, and this is Crazy"
T0028,US,lisnews.org,A Dime at a Time
T0029,IE,glda.ie,Absolutely bloomin' lovely | GLDA
T0030,ZA,alexhairston.com,The use of social networks Loyal to attract customers
T0031,IE,blog.purearomatea.com,How to cure Insomnia
T0032,AU,campaignbrief.blogspot.com,Campaign Brief Blog: BBDO ON TOP OF THE WORLD
T0033,ZA,prevent-anxiety-attacks.net,How To Deal With Anxietyprevent-anxiety-attacks.net
T0034,US,potablecurmudgeon.blogspot.com,The Potable Curmudgeon: These are the people who own Goose
T0035,ZA,gphotokc.myfotojournal.com,Chrsitin &amp; Corbin 11/10/12 | gphotokc
T0036,US,infocult.typepad.com,"Dracula Blogged: That is a wonderful machine, but it is cruelly true."
T0037,US,aspanational.wordpress.com,The Impact of Technology on the Federal Government: What's in it
T0038,IE,macros42.net,We have a winner
T0039,GB,you-stylish-barcelona-apartments.com,Top 4 FREE Things to do in Barcelona
T0040,IE,irishrainphotography.com,"One of ""Those"" Days...."
T0041,IE,blog.dkphoto.ie,Sinead &amp; David » Wedding And Portrait
T0042,AU,clutterrescue.com.au,Fitting the Belongings of Two People into One Space
T0043,US,kalynskitchen.com,Kalyn's Kitchen®: 90 Healthy No-Heat Lunches for Taking to Work
T0044,AU,chrischeng.com,Hello Dobroyd Point Public School
T0045,US,jobloggscom.blogspot.com,Jo Bloggs: November 3rd of the two challenges.
T0046,GB,fashionchampagne.com,FashionChampagne: In The Morning
T0047,GB,greenallianceblog.org.uk,What's the difference between a circular and a linear economy? 1 mm
T0048,ZA,breadandbutterdesign.co.za,A debtor will still have to make his monthly payments regularly
T0049,ZA,oneoftheboys.co.za,Its the middle of April already?
T0050,ZA,fredhatman.co.za,"This is a blogpost about Bella, the Forrest Gump of the animal world"
T0051,GB,f-analysis.com,Keeping Fit And Enjoying The High Life With Canoeing
T0052,AU,siliconsymmetries.com.au,How healthy is your outsourcing alliance?
T0053,IE,lk145895.shopifree.com,The Timeless Silver Chain
T0054,US,theresawiza.wordpress.com,SICK of all the Gay Bashing « Theresa Wiza's Blog
T0055,ZA,orthopaediciq.org,Is there a solution to my foot problem?
T0056,GB,mchanan.com,Secret City » Michael Chanan
T0057,AU,fitnfast.com.au,Fresh and Simple | Fit n Fast
T0058,IE,irishgamingwiki.com,Irish Roleplaying and Gaming Wiki
T0059,AU,sl.farmonline.com.au,High dollar drilling a $15b-a-year hole
T0060,IE,galwaycycling.org,Cycling Campaign welcomes oral hearing into deeply flawed
T0061,US,ocsguy.com,Deploying an Edge Server with Lync
T0062,GB,calamitydames.com,Something in the air?
T0063,IE,johnbreslin.com,xFolk Cloud v0.5 beta released
T0064,IE,fearghus.net,E-motional Bodies and Cities
T0065,GB,thevirtualword.org,Where there is no vision the people will perish... really
T0066,US,williebemacin.com,The Holy Spirit: The Presence of Jesus in the Believer
T0067,AU,igo2group.com,Do you have a Dream?
T0068,US,americanindiansinchildrensliterature.blogspot.com,American Indians in Children's Literature (AICL): Dear Scott Brown
T0069,ZA,english.solidariteitbeweging.co.za,The strange notion that proximity equals entitlement
T0070,ZA,section27.org.za.dedi47.cpt1.host-h.net,Eastern Cape High Court orders the appointment of teachers in the
T0071,AU,ausrc.com,Buggy for an 11yr old
T0072,AU,blog.tzarcorp.com,The Importance of Trade samples
T0073,IE,egans.ie,Fancy a dip? | Egans
T0074,AU,mtloftyvolleyball.wordpress.com,On top of your game
T0075,ZA,tablebay.suninternational.com,condé nast readers' choice awards top 15 hotels in africa
T0076,IE,itsligo.ie,Launch of Partnership with the Abbey Theatre
T0077,ZA,bambooblossom.co.za,Bamboo Blossom: Local online gift guide 2012
T0078,ZA,rediscoveringsetx.com,Blood of the Innocent
T0079,IE,stopsuicide.ie,Facts and StatisticsStop Suicide
T0080,IE,businessexpo.ie,Grant Thornton | Business Expo
T0081,US,reset2live.wordpress.com,Trust: it's kind of a choice.
T0082,AU,shiftspeakertraining.com,10 Ways to Get More Clients &amp; Make More Money (QUICKLY!)
T0083,IE,surfrepublic.ie,Ireland Surf Report Saturday 24/11/'12
T0084,ZA,pluspoints.co.za,Acer South Africa appoints Regenersis as outsourced repair centre
T0085,ZA,icollectgingers.com,A ginger utopia in the Netherlands
T0086,ZA,lauramccullagh.com,The Bone Collectors 'Black Love' album launch at the German Club
T0087,US,subwaysquawkers.blogspot.com,A Yankees-Mets Rivalry Blog: Subway
T0088,GB,amerigunner.ladyarse.com,No Cause for Concern Here
T0089,AU,retro-rollers.com,Back to the seventies
T0090,IE,lifeatfiftysomething.wordpress.com,Harsh reality of some people's lives « lifeatfiftysomething
T0091,IE,dublinculture.ie,Free Shakespeare in the Iveagh
T0092,GB,justcelebrity.me,the first ever film to talk about Reactive
T0093,AU,chrisrhyss.com.au,"Of the many reasons why I love her, this is one... « ChrisRhyss.com.au"
T0094,AU,savingana.com,Bikini Waxing &amp; Taxi Smashing « savingana
T0095,ZA,physiopro.co.za,PhysioPRO-Physiotherapy - Rest and Recovery
T0096,IE,davidmcclelland-photography.com,A day in Dublin with my iphone
T0097,GB,perfect-tennis.co.uk,ATP World Tour Finals Draw 2012
T0098,US,foxinthepine.com,Fox in the Pine
T0099,ZA,doepelganger.com,high all the time «
T0100,GB,nichelondonquartet.com,Weddings out in the Countryside
T0101,US,fasttrakauto.com,Monitoring the Quality of Relationships
T0102,AU,stereo.net.au,OSX 24/192 player that can be controlled by iPhone or iPad app
T0103,US,wearejuxt.com,"Pain As Beauty, Erotic As A Way of Life"
T0104,IE,bitsmithgames.com,"How to get a free GDC ticket, and maple syrup too"
T0105,ZA,iheartyouroutfit.com,we both indulge in a little wall art
T0106,ZA,humanaction.co.za,There Was a Fed Chairman Who Swallowed a Fly
T0107,IE,giftnetworkproject.eu,EU Commission tackles the climate impacts of biofuel production
T0108,US,spiritualnetworks.com,Thanksgiving and living with thankfulness
T0109,US,yankeehottie.blogspot.com,Yankee Hottie: History is made as well as the obvious.
T0110,IE,padraigfahy.com,[The JukeBox] S4 E7
T0111,US,auctionandappraiseblog.com,Auto Auctions: How to Make it a Fun and Rewarding Experience
T0112,AU,davidgroenenboom.com,Not much to look at... « Dave's Journal
T0113,IE,dublintheatrefestival.com,Dublin Theatre Festival: Director's Update!
T0114,US,scopeblog.stanford.edu,"Scientists announce the completion of the ENCODE project, a"
T0115,ZA,searchengineoptimisation.co.za,Get to the Top of Google fast!
T0116,ZA,sweetlifemag.co.za,My Type 2 diabetes story
T0117,GB,letolab.com,Southampton Startup Weekend or Dare You to Develop a Startup in
T0118,US,lenziran.com,Ahmadinejad to West :We dont care if you do not invest in oil
T0119,ZA,cathymarston.co.za,The Big Faure-oh | Cathy Marston
T0120,AU,murraybridgespeedway.com,Lines Battles To Wigzell Win
T0121,US,bmorebirdsnest.com,This fake Orioles movie needs to be a real thing : B'More Birds' Nest
T0122,AU,comingout.com.au,Jeff Kennett on Gay AFL footballers
T0123,US,mteotalk.wordpress.com,SWIGSTATE 2012: The best damn election drinking game ever to
T0124,ZA,superbikesa.co.za,"2013 Honda Ruckus, When Fun Meets Function"
T0125,IE,ulsuelect.com,ULSU General Manager actively seeks to control discussion on C&amp;S
T0126,ZA,dowsetts.blogspot.com,kairos : kisses: Relevance : Resonance
T0127,US,healthfitnessyoga24.blogspot.com,Are You Aware Of How To Have The Body You've Always Desired?
T0128,ZA,getpregnant.co.za,Get Pregnant » Blog Archive » Myths about Infertility
T0129,AU,plantowin.net.au,Carpe Sexism! Seizing the Campaign Moment
T0130,IE,aranisland.info,"Aran Islands Archaeology: The Mystery of Dun Aengus, Part Two"
T0131,GB,inmindhypnotherapy.co.uk,I encouraged him to grow wings and now he's flown « In Mind
T0132,IE,theplayer.ie,Trials Evolution Coming as Part of Xbox Live Arcade Next -The Player
T0133,GB,inverness.uhi.ac.uk,Apply to become a host family and earn up to £110 a week
T0134,IE,wreninnovations.com,A Step By Step Way To Transfer Nextgen Galleries Between Sites
T0135,US,retrieverbasketballrallymonkey.com,Thomas Keeps It In the UMBC Family -- UMBC Basketball's Rally
T0136,ZA,mpoverello.com,Uganda prepares to introduce AEO
T0137,US,deluxesmallbizblog.com,The State Of Smart
T0138,AU,darcymoore.net,"A day, make that week, to remember..."
T0139,ZA,blog.bazbus.com,Baz Bus Ticket Options!
T0140,AU,filipin-oz.com,A Heart's Journey with Jose Marie Chan
T0141,ZA,un-earthed.com,Must-read: Fracking fears run deep in the Karoo
T0142,GB,online-payday-loans.me.uk,Need Extra Cash? Cash Advances May Be The Solution
T0143,IE,holistichealthguide.ie,The real cause of anxiety
T0144,ZA,familycareministries-sa.org,Just one life @ Family Care Ministries
T0145,GB,whatkindofbankerareyou.co.uk,Press Release- What kind of Banker Are You?
T0146,GB,scotchodysseyblog.com,Glenfiddich Age of Discovery
T0147,AU,cosmosmagazine.com,Earth's extraordinary journey: Q&amp;A with Kate Humble
T0148,IE,mindfulness.ie,Presented by YTI: Day of Mindfulness for Yogis with Helen
T0149,GB,helennewlove.co.uk,Back to work | Helen Newlove
T0150,ZA,famemonstersa.com,FameMonsterSA: Tech mogul pays bright minds not to go to college
T0151,AU,cattleandcane.com,Feed Me Friday « Cattle &amp; Cane
T0152,US,mrscomethunter.blogspot.com,Apple Pie and The Universe: Refuse to Go Back
T0153,ZA,struiklifestyle.bookslive.co.za,Ardmore: We Are Because of Others by Fee Halsted Launched at
T0154,GB,sites.kingschester.co.uk,The edge of the fiscal cliff
T0155,ZA,lizatlancaster.co.za,Great art on show on the Jan Smuts 'Art Strip'
T0156,IE,justsplit.com,Beautiful Barcelona « Justsplit.com
T0157,AU,harmonyzeolitedetox.com,"""I Thought I Was Going To Lose Her"" :Harmony : Zeolite Detox"
T0158,AU,cassmob.wordpress.com,Family History Alphabet: Tantalising T
T0159,AU,imlearninggerman.com,Introducing Jurnal Berlinez - I'mLearningGerman.com
T0160,AU,pattyj.wordpress.com,Things I discovered as a result of reading DRA's blog
T0161,GB,englishhomestead.com,An English Homestead: Making Sea Salt
T0162,IE,galwayplayer.wordpress.com,Galway Indo Nov « galwayplayer
T0163,AU,xssatstreetfashion.com,Spy Style - Summer's in the air fashion photo shoot
T0164,ZA,msincomemakers.msincomemaker.com,Try These Ideas To Succeed With Affiliate Marketing!
T0165,US,gizchina.com,Chinese Phone Maker of the GooPhone i5 might have blocked
T0166,ZA,pcsa.michaelwsherman.com,Pictures of my Travels Around Africa
T0167,IE,educationmatters.ie,STEM or Science II
T0168,ZA,lloydnorrisjones.com,We have to cut down on mistakes: Drummond « SA Men's Hockey #10
T0169,GB,rossendale.gov.uk,Ash Dieback Disease - Rossendale Borough Council
T0170,US,postralphaelite.blogspot.com,Journal of Post-Ralphaelite Thought: The Edge of Space
T0171,US,miamiflimmigrationattorney.com,Federal appeals court tells parties to look at deportation cases for
T0172,US,armsandthelaw.com,"Of Arms and the Law: It must suck to be on the other side, part 3,560"
T0173,ZA,bootspalace.com,My Personal Favorite Ugg Snow Boots
T0174,ZA,firsttimehomebuyercanada.com,tax credit first time home buyer First Time Home Buyer Tax Credit
T0175,GB,ksnvienna.com,"Polls Show Little Balance, Lots of Opinion"
T0176,IE,onlycentral.com,Windows 7 64bit Shutdown Button Reboots Computer
T0177,US,allfairfield.com,People See What They Want To See Even When They Didn't See It
T0178,GB,footballgossip.org.uk,AC Milan News: Galliani Admits To Ibrahimovic Fall-Out
T0179,US,sydneysmartt.wordpress.com,When God's Trying to Tell You Something.
T0180,ZA,rodgerhoffman.co.za,The use of anchor text
T0181,US,tutorialgoogleplus.net,How to do the proper homework
T0182,AU,embracingitall.com,A Weekend of Gardening
T0183,IE,wishingwell.ie,'The Wishing Well Duo' - Nuala O'Connor
T0184,US,alternativemindz.com,Monster Galaxy Exile Rockets To The Top Of
T0185,GB,pro-choicesmokingdoctor.blogspot.com,Pro-Choice Smoking Doctor: You can't drink in front of the children in
T0186,ZA,edulibpretoria.wordpress.com,Shocking results from the Annual National Assessments written in
T0187,US,moneyistheway.blogspot.com,Jamil Baz is out of his mind ~ Money is the way
T0188,US,austinbhebe.wordpress.com,"You have been a Shelter, Lord To every Generation « austinbhebe"
T0189,GB,nfluk.com,Our man in Missouri
T0190,GB,blog.englishelections.org.uk,English Elections: A Sort-Of Defection in Stafford
T0191,IE,racheldungan.com,How do pharmacists influence how medicines are
T0192,ZA,clockworkmedia.co.za,Numbers Versus Engagement: How Big is Your Community
T0193,IE,scalea.info,Vote to get the Airport Bus Back
T0194,GB,imamedicalstudentgetmeoutofhere.blogspot.com,"I'm a Medical Student, Get Me Out of Here: so much to do, so little time"
T0195,IE,unitedirelander.blogspot.com,United Irelander: Sunday Surprise-What Do You Think?
T0196,GB,theladyandthetramp.co.uk,The Lady and the Tramp Grooming Salon and Spa
T0197,AU,goonlinelawyer.com,Create the Right Kind of Interest in Your Law Firm on the Internet
T0198,ZA,kaspersky.com,Microsoft Corporate Network is Hacked. What About Your Network?
T0199,US,politicaloutcast.com,What does ObamaCare Have to Do With Circumcision?
T0200,ZA,jameykedrajewelryblog.thisnetwork.co.za,When a lot of people perceive real estate
T0201,AU,workfromhomeaustralia.com,Work From Home Australia Business Opportunities
T0202,US,ueunion.org,The Long Struggle for Voting Rights
T0203,US,efrogpress.com,What's a writer to do? The journey from traditionally published to indie
T0204,ZA,bestexerciseforbuildingmuscle.com,Halloween Doesn't Have to be Scary for Your Diet
T0205,IE,mylifelists.com,The end of the summer
T0206,US,silverinvestingnews.com,The Opposite Side Of The Trade: Banks Bet Against Silver
T0207,US,aquanyin.wordpress.com,"Entering the Age of Light Dec 21, 2012 « Amorah Quan Yin's BLOG"
